school_ID,age_yrs,sex,weigth,height,BMI,cran_vol,head_circumference,birth_weight,birth_heigth,birth_head_circumference,M_birth_age,mothers_nationality,mothers_height,mothers_weight,dads_nationality,dads_height,N_sibs,birth_order,cohab_3,2_providers_OK,Two_providers,cohabitance,n_providers,two_paretnal_figures,parents_together,two_parents,parents_alive,dads_education,Feduc_3,Feduc_1,mothers_edu,Meduc_3,Max_edu_3,family_income,personal_estimate_of_resources,Resources_reported,enough_food,lacking_meat,lacking_fruit,lacking_milk_meat,lacking_vegs,estimate_of_educational_success,grades,smoking,alcohol,Mo-smokes,dad_smokes,engages_in_sport,Oma_toas_inimesi,Laste_arv_peres...150,underage_children,people_in_dwelling,height_rzs,BMI_rzs,cran_vol_rzs,head_circ_rzs
5,13.509589,1,47.15,157.4,19.031466000000002,1386.992,56.5,NA,NA,NA,20.3,1,NA,63,1,NA,1,1,1,1,1,0,2,1,0,0,1,3,2,0,4,2,2,NA,4,1,4,0,0,0,0,4,5,0,0,1,0,1,1,NA,1,3,-0.489436620270044,0.402632154415897,1.62439374379262,0.900044216477297
5,12.90137,1,34.9,151.6,15.185428,1165.827,53.5,NA,NA,NA,29.3,1,NA,NA,1,NA,1,2,2,1,1,1,2,1,1,1,1,3,2,0,6,3,3,NA,4,1,4,0,0,0,0,3,4,1,1,0,0,1,1,NA,1,4,-0.7604522877502,-1.054810063898,-0.975898257237451,-0.83974763173442
5,13.252055,1,50.65,168.3,17.881799,1269.622,55,NA,NA,NA,NA,1,NA,NA,1,176,1,2,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,4,1,4,0,0,0,0,3,3,0,2,0,4,1,2,NA,1,4,1.26848104979483,-0.0190135874486828,0.226287859187905,0.0203994513050701
5,12.224658,1,46.9,160.2,18.274597,1327.804,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927987196891,0.0696434386039998,1.13275245787578,0.643978705502159
5,16.367123,1,64.75,175.6,20.99862,1261.864,56.2,3200,50,NA,26.1,1,162,54,1,187,1,1,2,1,1,1,2,1,1,1,1,3,2,0,6,3,3,NA,4,1,4,0,0,0,0,3,3,1,2,0,3,1,1,NA,2,4,0.0585139132951044,0.32751096595931,-0.702443186066121,-0.120829552245949
5,14.356164,2,48.8,164.9,17.946448,1223.79,55,4200,50,NA,29.4,1,164,75,1,181,2,3,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,4,1,2,0,0,0,0,4,4,0,1,0,0,0,2,NA,3,6,0.205236114719278,-0.624718477487409,0.777129580181325,-0.275701327328195
5,14.876712,1,51.7,162.4,19.602817,1303.382,55.7,NA,NA,NA,35.5,1,160,59,1,170,2,3,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,3,1,3,0,0,1,0,4,4,0,1,0,0,1,2,NA,1,5,-1.27105387915957,0.0318300295856783,0.0562763554966825,-0.25264359346373
5,14.542466,1,66.75,177.2,21.25807,1403.082,57,3800,NA,NA,NA,1,NA,NA,1,NA,1,2,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,4,1,4,0,0,0,0,3,2,2,3,1,4,0,1,NA,1,3,1.09685067865912,0.872699883115065,1.45186008754649,0.740870446300816
5,14.967123,1,75.8,176,24.470558,1380.743,57.5,4200,51,NA,37.9,1,172,79,2,176,0,3,1,1,1,0,2,1,0,0,3,5,3,0,6,3,3,NA,4,1,3,0,0,0,0,3,2,3,3,0,0,0,1,NA,1,3,0.555687180536362,1.87360860520877,0.977852190847601,0.832934546596241
5,14.731507,1,57.25,167.3,20.454252,1241.105,55.8,3500,50,NA,25.6,1,NA,NA,1,NA,0,1,0,0,0,0,1,0,0,0,1,6,3,0,3,2,3,NA,4,1,4,0,0,0,0,3,3,1,0,0,0,0,1,NA,1,2,-0.465664597836189,0.4470378819678,-0.651303882328678,-0.115722557324606
5,15.120548,1,64.8,173.1,21.626233,1296.63,55.8,4200,53,NA,23.8,1,163,62,1,172,1,1,2,1,1,1,2,1,1,1,1,5,3,0,3,2,3,NA,4,1,4,0,0,0,0,3,3,1,3,0,4,1,1,NA,2,4,0.0509043511178576,0.693641288228299,-0.132715864330406,-0.296220478895507
5,14.356164,1,46.8,161.8,17.87676,1232.27,55.5,2600,49,NA,25.5,1,161,95,1,178,1,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,3,1,3,0,0,0,0,4,5,0,0,0,0,1,2,NA,2,3,-0.841481007250824,-0.331924205164847,-0.585478206303336,-0.0914831598829468
5,14.917808,1,48.7,170.2,16.811631,1268.113,55.9,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,0,2,1,1,1,1,3,2,0,3,2,2,NA,4,1,4,0,0,0,0,3,1,1,2,0,0,0,1,NA,2,4,-0.216048016305691,-1.07552152284125,-0.401016216051579,-0.147039617734203
5,14.356164,1,72.5,181.1,22.105539,1329.384,57.7,4100,51,NA,35.6,1,160,75,1,176,1,2,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,5,1,3,0,0,0,0,4,5,0,0,0,0,0,1,NA,1,4,1.84764454386156,1.31110236722033,0.622408488047108,1.28738888302578
5,14.808219,1,62.1,176.4,19.956962,1338.722,55.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735479147152885,0.208669761421505,0.527269220267269,-0.0930758849554626
5,14.663014,1,58.05,176.6,18.613191,1352.729,55.7,4100,51,NA,32.6,1,162,58,1,177,1,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,3,1,3,0,0,0,0,3,2,1,4,0,0,1,1,NA,2,4,0.89340803017168,-0.227316065764776,0.769000290174382,-0.141359478882794
